TimeStep,Hubs_Top10%,Middle,Periphery_Bottom50%
92,0.7520798532596393,0.7623233526378985,0.766088819128504
93,0.7520798313866655,0.7623233404600143,0.766088860973627
94,0.7520798117009889,0.7623233294999185,0.7660888986342379
95,0.75207979398388,0.7623233196358321,0.7660889325287874
96,0.7520797780384821,0.7623233107581545,0.7660889630338822
97,0.752079763687624,0.7623233027682447,0.7660889904884675
98,0.7520797507718515,0.7623232955773257,0.7660890151975942
99,0.7520797391476565,0.7623232891054987,0.7660890374358083
100,0.7520797286858808,0.7623232832808545,0.766089057450201
101,0.7520797192702828,0.7623232780386745,0.7660890754631542
102,0.7520797107962445,0.7623232733207127,0.7660890916748124
103,0.7520797031696101,0.762323269074547,0.7660891062653047
104,0.752079696305639,0.7623232652529978,0.7660891193967476
105,0.7520796901280652,0.7623232618136037,0.7660891312150463
106,0.7520796845682487,0.7623232587181488,0.7660891418515152
107,0.7520796795644138,0.7623232559322394,0.7660891514243372
108,0.7520796750609625,0.7623232534249211,0.7660891600398769
109,0.7520796710078563,0.7623232511683345,0.7660891677938627
110,0.7520796673600606,0.7623232491374066,0.7660891747724499
111,0.7520796640770446,0.7623232473095717,0.7660891810531785
112,0.7520796611223303,0.7623232456645199,0.766089186705834
113,0.7520796584630871,0.7623232441839735,0.7660891917932242
114,0.7520796560697685,0.7623232428514817,0.7660891963718752
115,0.7520796539157818,0.7623232416522391,0.7660892004926612
116,0.7520796519771935,0.7623232405729207,0.7660892042013684
117,0.7520796502324643,0.7623232396015343,0.7660892075392051
118,0.7520796486622078,0.7623232387272862,0.7660892105432582
119,0.7520796472489771,0.7623232379404633,0.7660892132469057
120,0.7520796459770694,0.7623232372323223,0.7660892156801886
121,0.7520796448323525,0.7623232365949958,0.7660892178701433
122,0.7520796438021072,0.7623232360214018,0.7660892198411023
123,0.7520796428748865,0.7623232355051672,0.7660892216149657
124,0.7520796420403879,0.762323235040556,0.7660892232114425
125,0.7520796412893391,0.762323234622406,0.7660892246482717
126,0.7520796406133954,0.762323234246071,0.7660892259414182
127,0.7520796400050458,0.7623232339073694,0.7660892271052497
128,0.7520796394575312,0.7623232336025381,0.7660892281526982
129,0.752079638964768,0.7623232333281897,0.766089229095402
130,0.7520796385212813,0.7623232330812764,0.7660892299438352
131,0.7520796381221432,0.7623232328590543,0.7660892307074252
132,0.752079637762919,0.7623232326590544,0.7660892313946561
133,0.752079637439617,0.7623232324790546,0.766089232013164
134,0.7520796371486453,0.7623232323170546,0.7660892325698211
135,0.7520796368867708,0.7623232321712549,0.7660892330708122
136,0.7520796366510838,0.7623232320400348,0.7660892335217047
137,0.7520796364389655,0.7623232319219369,0.7660892339275077
138,0.752079636248059,0.7623232318156488,0.7660892342927303
139,0.7520796360762431,0.7623232317199896,0.7660892346214309
140,0.7520796359216088,0.7623232316338961,0.7660892349172612
141,0.752079635782438,0.7623232315564119,0.7660892351835087
142,0.7520796356571842,0.7623232314866764,0.7660892354231312
143,0.7520796355444558,0.7623232314239142,0.7660892356387916
144,0.7520796354430002,0.7623232313674284,0.7660892358328859
145,0.7520796353516902,0.7623232313165911,0.7660892360075706
146,0.7520796352695114,0.7623232312708375,0.7660892361647871
147,0.7520796351955502,0.7623232312296595,0.7660892363062819
148,0.7520796351289851,0.7623232311925991,0.7660892364336273
149,0.7520796350690766,0.7623232311592447,0.7660892365482378
150,0.7520796350151591,0.7623232311292257,0.7660892366513877
151,0.7520796349666331,0.7623232311022089,0.7660892367442225
152,0.7520796349229598,0.7623232310778933,0.7660892368277736
153,0.7520796348836539,0.7623232310560095,0.7660892369029697
154,0.7520796348482784,0.7623232310363143,0.7660892369706461
155,0.7520796348164407,0.7623232310185885,0.7660892370315552
156,0.7520796347877866,0.7623232310026351,0.766089237086373
157,0.752079634761998,0.7623232309882773,0.7660892371357092
158,0.7520796347387882,0.7623232309753548,0.7660892371801118
159,0.7520796347178994,0.7623232309637252,0.7660892372200739
160,0.7520796346990996,0.7623232309532582,0.7660892372560402
161,0.7520796346821796,0.7623232309438379,0.7660892372884096
162,0.7520796346669517,0.7623232309353597,0.7660892373175422
163,0.7520796346532465,0.7623232309277292,0.7660892373437613
164,0.7520796346409119,0.7623232309208618,0.7660892373673588
165,0.7520796346298108,0.7623232309146812,0.7660892373885962
166,0.7520796346198197,0.7623232309091187,0.7660892374077102
