TimeStep,Hubs_InitTop10,Middle,Periph_InitBottom50,GCC_Ratio
70,0.8033655142450585,0.7521624358648187,0.7548734162011747,1.0
71,0.8034313023309524,0.752602776487115,0.7553468098175797,1.0
72,0.8045797873173032,0.7528445566810132,0.7561729965997931,1.0
73,0.805183487530536,0.7530231218096815,0.7568190400062693,1.0
74,0.805120258773432,0.7535072611296797,0.7571821268968432,1.0
75,0.8054667106577104,0.7544149051765309,0.7578342445665177,1.0
76,0.804695861346183,0.753990692494536,0.7578620140614492,1.0
77,0.8035802738799231,0.755056220663533,0.7584275540198288,1.0
78,0.8046691778300679,0.7571496258928888,0.7595543015412265,1.0
79,0.8043361833781497,0.758333509221304,0.759593085215079,1.0
80,0.8040716512382499,0.7598014412987327,0.7601427413415646,1.0
81,0.805154426835275,0.7599315313100705,0.7602907352594195,1.0
82,0.8056832617385974,0.7617722780047669,0.7612888681797789,1.0
83,0.8059968874536189,0.7623868169812087,0.7618788874245919,1.0
84,0.8060183587730353,0.7632511740566038,0.7625037021477171,1.0
85,0.8047399006489863,0.7635202110737486,0.7631039441819129,1.0
86,0.8050710268815252,0.7642944324944804,0.7637072845846316,1.0
87,0.8071135892931744,0.7645950805207933,0.7640661447068633,1.0
88,0.8069077860889678,0.7650049833831775,0.7654084085721983,1.0
89,0.8085082644685416,0.766871296866946,0.7663146539667333,1.0
90,0.8082158370983865,0.767108131577678,0.7663874247322273,1.0
91,0.8088475420509179,0.7683099197379661,0.7672025754308107,1.0
92,0.8085452105922897,0.7686562263016868,0.7684210447435134,1.0
93,0.8079188563628222,0.7685168934250729,0.7685992683679954,1.0
94,0.8090458576963804,0.7690675292388073,0.769371151302726,1.0
95,0.8084464953910759,0.7688809458933173,0.7695017010509754,1.0
96,0.808012279841071,0.7696952286547005,0.7697793752298465,1.0
97,0.8079273786586753,0.770530932124246,0.7706302278477287,1.0
98,0.8086341775976073,0.7712115616482839,0.7712655452207781,1.0
99,0.8106574094623653,0.770852120359293,0.7725144211858135,1.0
100,0.8111392582312382,0.7708272258798256,0.772231182911549,1.0
101,0.8109973010562269,0.7697044283612093,0.7728637046340285,1.0
102,0.8125535939850812,0.7700048586456097,0.7728789412843555,1.0
103,0.8140813388670173,0.7698374947455939,0.7728820128335826,1.0
104,0.8145969936015011,0.7703107851521501,0.7731457320360201,1.0
105,0.8148881542415289,0.7701572369364242,0.7741725514649499,1.0
106,0.8158856651381436,0.7704512848066806,0.7745581964393946,1.0
107,0.8160373110757169,0.7704986272406119,0.7747726774142809,1.0
108,0.8145852922660389,0.7706649887878857,0.7754261646132331,1.0
109,0.8149511454858751,0.7694873945637307,0.7759941355284004,1.0
110,0.8155207220358968,0.7700672373847952,0.7765481702074643,1.0
111,0.8163250401333585,0.7703662699893299,0.7775609121269524,1.0
112,0.8161933054729765,0.7699501859041742,0.7778720187519568,1.0
113,0.8157820695874314,0.7689757589665511,0.7783370844302451,1.0
114,0.8151757563166765,0.7692531846683545,0.7791254305297778,1.0
115,0.8151899525815591,0.7681811557915106,0.7795258520321028,1.0
116,0.8148033463227173,0.7694284060261244,0.780084162669942,1.0
117,0.8144556940444587,0.7696282161644162,0.7805717390401425,1.0
118,0.8137305765605813,0.7691903277433664,0.7808863895749816,1.0
119,0.8125340667194128,0.7692067760190898,0.7813159877576658,1.0
120,0.8124353477644307,0.7696583514412545,0.7815570878308172,1.0
121,0.8123859438434927,0.7698020532178325,0.7823537210085363,1.0
122,0.8128536312969622,0.770051961055255,0.781808390138614,1.0
123,0.8127221213916627,0.7709927483253034,0.7820378023190788,1.0
124,0.8114480061965893,0.7710916449767172,0.7818885367660541,1.0
125,0.8132011996193752,0.7712667673677338,0.782043209683375,1.0
126,0.8139783073659962,0.7713899179005148,0.7817932822697903,1.0
127,0.8131856665988068,0.7709837443633939,0.7821931431564247,1.0
128,0.8129258169333439,0.7710644696573724,0.7820674473633545,1.0
129,0.8129683521957672,0.7713867504307081,0.7825301562791824,1.0
130,0.8141596477708808,0.7720475303379644,0.7836199631377154,1.0
131,0.8130671130608507,0.7728983366694351,0.7841372237279645,1.0
132,0.8145835077088821,0.7731165854407969,0.7844730312834078,1.0
133,0.8155399389633253,0.7733361910774214,0.7863656231482761,1.0
134,0.8164107995519037,0.77383011290174,0.7866280854582238,1.0
135,0.8175129205346073,0.7734627109253038,0.787339895179976,1.0
136,0.8165995772561239,0.7726475007237966,0.7868251036283889,1.0
137,0.8147519638947149,0.7726714057429503,0.7870106485090976,1.0
138,0.8143336968146906,0.7727538600773363,0.7873162520425085,1.0
139,0.8149056688080826,0.7722425032467841,0.78757849687012,1.0
140,0.8139885918297466,0.7726046038801805,0.7884647614632259,1.0
141,0.8135496763667422,0.7723553387355994,0.7887041436349732,1.0
