TimeStep,Macro_S1_Hub,Gap_S1_Hub,Macro_S2_Periph,Gap_S2_Periph,Macro_S3_Random,Gap_S3_Random
23,0.6463700370580029,0.0677792706446958,0.6271238331478146,0.07694184662116954,0.628770026503028,0.018430960293755905
24,0.6514396311297412,0.0694552364753025,0.6329155401861831,0.07869410720346026,0.6330664032324452,0.02052962656735091
25,0.6563599836805433,0.07050088394131526,0.6387343652352705,0.07975164413829594,0.6373804890973824,0.02091070547372431
26,0.6610466582618151,0.07093389336667577,0.643393427862646,0.08171538436479253,0.641290622701635,0.02305033077157348
27,0.6660578333036145,0.07077645222433604,0.6477519671973789,0.08061834574228188,0.6451942743725992,0.02358914303310744
28,0.6704781673033584,0.07125013407209502,0.652404618698363,0.08072690653153947,0.6491031446554151,0.02409398870937507
29,0.6749194413923687,0.0703868410209676,0.656290924813463,0.08226124458204831,0.6526642382637229,0.024202109127323235
30,0.6791890201323335,0.06964554361953812,0.6603357682595786,0.08085305373346585,0.6561711751360453,0.025239003563560347
31,0.6833681061497906,0.06956778196366309,0.6640649705312373,0.08397124422638247,0.6594217345567447,0.023264183190891075
32,0.686882511104147,0.06899529631634227,0.6675097467285613,0.08516498053635946,0.6630514090641356,0.02240217538687106
33,0.6906682039105506,0.06822473702096532,0.6706265081974823,0.08681551101170004,0.6667443182458785,0.02463289870046692
34,0.6937907128079005,0.06798183390545642,0.6736785226736837,0.08869834192885895,0.6699720043189783,0.026353421615077366
35,0.6968921410549136,0.06735192090625142,0.677168169133417,0.08811738310532746,0.6735753662411431,0.028281690350852928
36,0.6999876244800738,0.06718415178682324,0.6801649174494554,0.08924771373879581,0.676255604637864,0.02998731518739861
37,0.703065477965183,0.06664351334059304,0.6837527543212732,0.09014523004644837,0.6793880205306638,0.03171046857834203
38,0.7066034997033458,0.06591404220267261,0.6872230724395196,0.09169733316576867,0.6818801423008156,0.0330671838801212
39,0.7096147982895394,0.06478284165814152,0.6900722448265051,0.09194230447663887,0.6847489000368002,0.03250962532706203
40,0.7124796984491126,0.06389324674747188,0.6929472572185138,0.09272103519674724,0.6870399312644987,0.031687435181298684
41,0.715710935942036,0.06268241583394119,0.6951088890636941,0.09155078003727923,0.6898935050708003,0.029081677776989112
42,0.7179934829513743,0.06302319435586967,0.6981902180849845,0.09034988125409782,0.6918272088127216,0.02710620429702093
43,0.7207679677697959,0.062090894236080496,0.7011127817526046,0.08926844384640498,0.6940194096532448,0.024600932380918872
44,0.7230070283582846,0.06167916352968661,0.703582774959439,0.08942246997843262,0.6959847831235794,0.022850282373756525
45,0.725396283811164,0.060986367590729396,0.7065248168323638,0.08703641192620726,0.6984211867479503,0.02234214644136512
46,0.7279474208390477,0.06066613727325809,0.7087388826632256,0.0870697968069174,0.7001564927933808,0.02124469662393258
47,0.7302389738274924,0.06033844311915326,0.7102627658225835,0.08647313890568786,0.7025200470721514,0.019680980236600143
48,0.7321648617878754,0.05960485059591947,0.712341309274528,0.0857852856016802,0.704594116314144,0.017538632524645936
49,0.7337629710974425,0.05991259087052658,0.7146419349225771,0.08390900838518012,0.7057473062863364,0.014856755178010328
50,0.736498861828333,0.0582832797444951,0.7166831921605469,0.08475500291422988,0.707771594926505,0.01487354155798648
51,0.7385730813938259,0.05831889085399555,0.7187950128858972,0.08327625880703382,0.7092821845357039,0.014948388947261693
52,0.7404663651846775,0.05785593531771871,0.720180668968728,0.08383704324731056,0.7112113592378195,0.014538626512255681
53,0.7418622871440259,0.05653423947017833,0.721819081962136,0.08416942629916235,0.7122916344219246,0.015395160161760124
54,0.7435713450260332,0.05570560518113077,0.723280365116423,0.082868777892117,0.7138357280138287,0.014446125275665356
55,0.7460144378779509,0.053819565446436846,0.7251043759321458,0.08415028144237957,0.7150235539222589,0.012905153820636728
56,0.7475155566301371,0.0532727917873308,0.7263922870840586,0.08336863792541815,0.7162363430384916,0.011679996724482389
57,0.7485775454082639,0.052676480149699834,0.7275039413150789,0.08173799750683097,0.7174846551665253,0.01141979217164324
58,0.7502753339857858,0.051771365557811366,0.7291962066695337,0.08038569753182823,0.7189669542781194,0.011839324676459317
59,0.751792816402981,0.050674892988542664,0.730830741613682,0.08037133160670307,0.7205039628023424,0.010092027964873962
60,0.7532836194145164,0.050161786645089856,0.7328638093942211,0.08058468642894434,0.7222618179214515,0.009796217737388813
61,0.7543887621435059,0.04948582337591445,0.7341060236559243,0.08143457780468855,0.7233412683140371,0.009223574085478359
62,0.7558697503261971,0.0485039279525421,0.7351446985192983,0.07999391124114852,0.7239792101725975,0.009952330917531449
63,0.7563980231941407,0.04856820264319783,0.7362628526747924,0.08053923307573496,0.7249718055709636,0.01047570082684457
64,0.7578138295638064,0.04716802927175723,0.7372800833162664,0.07958523027077902,0.7263562260450565,0.01138798526013629
65,0.7587053088777422,0.04557282864436074,0.7380319951007193,0.07907565802949534,0.7277030171369793,0.00966976623798732
66,0.7598805108583815,0.044592511979037686,0.7391898337457574,0.08026655964144103,0.7287959369099195,0.009008338853957243
67,0.7613150071577188,0.043619760527345175,0.7400540002010877,0.07981211006212041,0.7298599902343181,0.008897408684119701
68,0.7619530472133549,0.04318415565061995,0.7408164322688093,0.07736955200289053,0.730377465265433,0.008153002129065334
69,0.762062829058975,0.042989654770491104,0.7423920850735335,0.07846448558095553,0.731017458520328,0.006883215212335703
70,0.7629916773701039,0.0425463944634179,0.7431914620345818,0.0771465457018996,0.7314924347473546,0.006606197249996781
71,0.7636398443401612,0.04251384349329712,0.7441606023696775,0.07638093933841283,0.7319884023654407,0.00746402463311191
72,0.7644651704866036,0.04157466956682376,0.7442610086291802,0.07609259980677174,0.7323698598603998,0.007036557181841485
73,0.7651808594723896,0.041153322812652826,0.7446769385227247,0.07531330275341253,0.7332922517689361,0.007303224725334401
74,0.7653656510475412,0.040833884088714245,0.7458083147817693,0.0731022624522587,0.7344192756064096,0.005160346434467833
75,0.7661591198370596,0.039183330244828896,0.7468030970726023,0.07166140726175141,0.7352386405777658,0.003962009091524665
76,0.766331532723081,0.03876487306907095,0.7476568184086487,0.07234580915273159,0.7365001995401885,0.003179577726178273
77,0.7670258038397983,0.036948862387661596,0.7480043011908301,0.07215978474213824,0.737458303750811,0.0006932291067885954
78,0.767790388422924,0.0356011851729946,0.7487983038348216,0.07187747576725034,0.7378059749080443,-0.0001575687993662367
79,0.7686863239798842,0.03419693280276592,0.7497026276830934,0.07071985911896095,0.7381091076944102,-0.0024600560143267503
80,0.7689846104694001,0.03334847987283729,0.7507753242012267,0.06983105532102107,0.7388767920815522,-0.00449736531919076
81,0.7691552338776323,0.03279410990441345,0.7514073608659578,0.06917837101762636,0.7396588325235587,-0.005073142215648252
82,0.7694554907129764,0.03236502908127492,0.7518016864407591,0.06882328884520006,0.7404005594030234,-0.006007608859769142
83,0.7704383175291563,0.030694034072491272,0.7524954409182292,0.06902398604156779,0.7412804705079553,-0.006473965671168869
84,0.7714682966296543,0.02952482504676146,0.7530925903450473,0.06994945506760253,0.7416118220538395,-0.007765010357463353
85,0.7720442028440095,0.029304655302626825,0.753545567781478,0.0686199632680703,0.7428652487071626,-0.00979295050903961
86,0.772812754984614,0.028756697692745137,0.7544589535140593,0.06659418523297012,0.7437937143583794,-0.009510819524371938
87,0.7731273486350196,0.028137617484061295,0.7549480659290928,0.0658120586340486,0.7448712765320336,-0.011068537506106035
88,0.7737825673867069,0.027594143781988323,0.755437001479454,0.06372016317985196,0.7460475980294043,-0.009839095671385523
89,0.7739251326830171,0.027230374386199352,0.7564204874061574,0.061661173723167484,0.7461439727485694,-0.009821687777386678
90,0.7748206716517603,0.025893907077417344,0.7561265379658996,0.061479392727039395,0.7465598318074356,-0.01094710016042888
91,0.7746854162033612,0.025997581291722915,0.756946221996291,0.0610655458824948,0.7465492906766006,-0.013091314932845877
92,0.7749447035225955,0.0254605358328317,0.7579329786597732,0.06124894354271648,0.7474969608888354,-0.013598065425904693
93,0.77519066158995,0.02630727689596124,0.7584120617127359,0.059565320193110005,0.7477703750725354,-0.013658603959681104
94,0.7762654385707524,0.02528650754258288,0.7595242838003539,0.05904271076384593,0.7483109848023866,-0.013419969551552446
95,0.7769459838380218,0.02374774082086628,0.7597796901291146,0.05951941746504119,0.7488421066026892,-0.013141019126540754
96,0.7774661470735077,0.023558904916414325,0.7603022914338139,0.05985972301046971,0.7496129871387262,-0.012751656461505667
97,0.7776653048089516,0.023363881606882297,0.7610129939521105,0.05902407062645676,0.7503798458646652,-0.010567631119730803
98,0.7779871111796861,0.02286010247571002,0.7613527178743708,0.05795176656069856,0.750786236102714,-0.01188464276931922
99,0.7783880318894079,0.02285988788757576,0.7614343678555303,0.056941183829855135,0.7513997255316937,-0.011508481775003854
100,0.7788067374913438,0.021273714142433287,0.7620388016335362,0.05718340893559004,0.7513675565672456,-0.011393913980940362
101,0.7794400694008614,0.02037826752223104,0.7626861921383932,0.05467440202456331,0.7515943198664838,-0.010916628205457357
102,0.779883788827789,0.02084845512272504,0.7635930582266465,0.05652415933382848,0.7517427294701724,-0.010858383049966669
103,0.7803271993006103,0.020686359268522136,0.7644077753202898,0.05413341848059494,0.7523774424978119,-0.01050399141946623
104,0.7808413395041283,0.02009827779239859,0.7645923074350951,0.05287681310751391,0.7525299566734553,-0.01070646178100254
105,0.7813498088178382,0.01900906979763295,0.7651091938564182,0.05203957354092137,0.7532389024184688,-0.011502929505659343
106,0.7816213577976612,0.01894121685450889,0.7653822595056691,0.05145212413864009,0.75366881478706,-0.012518258328546583
