TimeStep,Macro_t0,Gap_t0,Macro_t50,Gap_t50,Macro_t100,Gap_t100
25,0.6342388072415381,0.05197894985070761,0.5997915962288175,0.05333146923379284,0.6201177261923331,0.05745349799555077
26,0.6387621663107975,0.05232575629440295,0.604545826762755,0.05541401643624766,0.6249321195690655,0.058363083045905206
27,0.6436804086066036,0.05276887000206032,0.6090729269715964,0.05835253510470417,0.629851185750993,0.058636897195838644
28,0.6483437960069525,0.052931839016001514,0.6132116519243617,0.06079230354616283,0.6342222978318643,0.059155605215165386
29,0.6532149941379505,0.052121261320482226,0.6172355194516306,0.06178696301397224,0.6380431644107787,0.0586909535910477
30,0.6572157900556754,0.05243770692968197,0.6218439899943178,0.06446480682070888,0.6421958342878259,0.05792002307815547
31,0.6617697463299937,0.053314286943357936,0.6254907232542946,0.06768131222015616,0.645841686462865,0.05680117357308523
32,0.6659929194595259,0.05468181881988998,0.6296660870963884,0.06899058359093146,0.6496104327111585,0.05577200353052447
33,0.6696702017644828,0.05509250484531314,0.6331934064379013,0.06922762510429503,0.6528800972047619,0.057374368800816145
34,0.6730266312479228,0.05622370356516415,0.6364664193368901,0.07000358055378264,0.6564710461108446,0.05597618250168013
35,0.6762950646362857,0.056364763558176545,0.6397733582072406,0.07098709915337631,0.6598567529340716,0.055100792173340074
36,0.6796112668001485,0.059123746906769914,0.6429351234560324,0.07219444982205458,0.663393617946531,0.05436294277918319
37,0.6826029053774703,0.05842110960204183,0.6461322905265708,0.07319237293501657,0.6662266497258418,0.05384169577599174
38,0.685751813396031,0.06001835769771835,0.649635554166284,0.07411988229945676,0.6689196403517488,0.052437773078742644
39,0.6880417659012578,0.058420229903747956,0.6528782573037379,0.07362067415293638,0.6724177590208724,0.05131516525907276
40,0.6908278969694798,0.056985501514884906,0.6555904165843743,0.07305930637348079,0.6752306497942903,0.05047237526406645
41,0.6938537297819182,0.05804800424590095,0.6586359648637629,0.07393605149078464,0.6781697143609936,0.051294806761606915
42,0.6958396119770346,0.05833873900661157,0.6617370034395417,0.07346941691176656,0.6810575758068853,0.051101339106059296
43,0.6978583540154608,0.05829570282137575,0.664073256753085,0.07245882381248503,0.6842699078879559,0.05080501252076719
44,0.7000175373865429,0.057336810363516344,0.6671089131362625,0.07218277089991354,0.6863567292456095,0.048571599776078056
45,0.7024289924596873,0.05584083961410513,0.6705931491352825,0.07129023428646442,0.689046760365711,0.04723625040695323
46,0.7045144082127862,0.05484952860666492,0.6742667427657759,0.07183202974804825,0.6918510287541342,0.044539504558207876
47,0.7066049903387047,0.05355241842100089,0.6770856197366759,0.07028497873278594,0.6942161722902502,0.04508622331761858
48,0.7079106074222715,0.05181150019610592,0.6801175432254302,0.06977951523870096,0.6968123065688521,0.04284520215035392
49,0.7094736613000121,0.050318779764719435,0.6827037333843495,0.067558661541963,0.6990277167660186,0.04186263172318083
50,0.7108891192609585,0.05015107156299736,0.6849088058525028,0.06804992692030487,0.7016370633300524,0.03978198277140621
